dbpk,catalogNumber,occurrenceID,basisOfRecord,scientificName,taxonRank,kingdom,phylum,class,recordedBy,eventDate,verbatimEventDate,country,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,occurrenceRemarks,associatedMedia,dataGeneralizations
iNat-387835847,iNat-387835847,https://www.inaturalist.org/observations/387835847,PreservedSpecimen,Drosophila,genus,Animalia,Arthropoda,Insecta,樂行,2026-08-03,2026-08-03T18:48:32+08:00,"Beijing, Beijing, CN",40.0100046791,116.19541917,4,,https://static.inaturalist.org/photos/710235005/large.jpg;https://static.inaturalist.org/photos/710235035/large.jpg,Harvested from iNaturalist observation 387835847
iNat-387835840,iNat-387835840,https://www.inaturalist.org/observations/387835840,PreservedSpecimen,Amegilla quadrifasciata,species,Animalia,Arthropoda,Insecta,Alonso As,2026-08-03,2026-08-03T12:24:00+02:00,"11520 Rota, Cádiz, España",36.6280125796,-6.3421050087,41,,https://static.inaturalist.org/photos/710234976/large.jpg,Harvested from iNaturalist observation 387835840
iNat-387835838,iNat-387835838,https://www.inaturalist.org/observations/387835838,PreservedSpecimen,Nezara viridula,species,Animalia,Arthropoda,Insecta,Jalanshi Pandya,2025-01-28,2025-01-28T15:30:50+05:30,"XH56+2XP, Budulimunda, Odisha 759126, India",20.9595159889,84.5641470328,29216,,https://static.inaturalist.org/photos/710234989/large.jpg,Harvested from iNaturalist observation 387835838
iNat-387835836,iNat-387835836,https://www.inaturalist.org/observations/387835836,PreservedSpecimen,Polyommatus coridon,species,Animalia,Arthropoda,Insecta,hidracina,2026-08-03,2026-08-03T13:23:13+02:00,"Huesca, ES-AR, ES",42.7107398572,-0.3185696527,4,,https://inaturalist-open-data.s3.amazonaws.com/photos/710234995/large.jpg,Harvested from iNaturalist observation 387835836
iNat-387835832,iNat-387835832,https://www.inaturalist.org/observations/387835832,PreservedSpecimen,Eristalis intricaria,species,Animalia,Arthropoda,Insecta,railiorvokki,2026-08-03,2026-08-03T12:17:32+03:00,"58500 Savonlinna, Suomi",61.753024,29.3950662997,,,https://inaturalist-open-data.s3.amazonaws.com/photos/710234965/large.jpg;https://inaturalist-open-data.s3.amazonaws.com/photos/710235019/large.jpg,Harvested from iNaturalist observation 387835832
iNat-387835830,iNat-387835830,https://www.inaturalist.org/observations/387835830,PreservedSpecimen,Vanessa atalanta,species,Animalia,Arthropoda,Insecta,Yoni Carnice,2026-08-03,2026-08-03T10:29:33+01:00,"Bellenden Road, London, England, GB",51.4662633333,-0.0737971667,14,,https://static.inaturalist.org/photos/710235070/large.jpg,Harvested from iNaturalist observation 387835830
iNat-387835825,iNat-387835825,https://www.inaturalist.org/observations/387835825,PreservedSpecimen,Iphiclides podalirius,species,Animalia,Arthropoda,Insecta,Josef Mareček,2026-08-03,2026-08-03T13:19:00+02:00,"Stare Splavy hl. silnice, 471 63 Doksy-Staré Splavy, Česko",50.5845154023,14.6247701347,13,,https://static.inaturalist.org/photos/710234983/large.jpg;https://static.inaturalist.org/photos/710235060/large.jpg;https://static.inaturalist.org/photos/710235192/large.jpg,Harvested from iNaturalist observation 387835825
iNat-387835824,iNat-387835824,https://www.inaturalist.org/observations/387835824,PreservedSpecimen,Chrysis ignita,complex,Animalia,Arthropoda,Insecta,Emma Lassiter,2026-07-28,2026-07-28T16:54:50+02:00,"81170 Les Cabannes, France",44.0779916667,1.9219583333,4,,https://inaturalist-open-data.s3.amazonaws.com/photos/710234924/large.jpg,Harvested from iNaturalist observation 387835824
iNat-387835821,iNat-387835821,https://www.inaturalist.org/observations/387835821,PreservedSpecimen,Hycleus biundulatus,species,Animalia,Arthropoda,Insecta,Akil Guhan J,2026-08-03,2026-08-03T16:51:02+05:30,"Coimbatore, IN-AP, IN",10.6688385,76.9929274,300,,https://inaturalist-open-data.s3.amazonaws.com/photos/710234954/large.jpg,Harvested from iNaturalist observation 387835821
iNat-387835807,iNat-387835807,https://www.inaturalist.org/observations/387835807,PreservedSpecimen,Olene dudgeoni,species,Animalia,Arthropoda,Insecta,古國順,2026-08-03,2026-08-03T19:22:43+08:00,546台灣南投縣仁愛鄉雲龍橋,24.03376,121.17392,3,,https://static.inaturalist.org/photos/710234872/large.jpg,Harvested from iNaturalist observation 387835807
